user_id,artistname,trackname,playlistname,id,artists,key,danceability,liveness,valence,year,acousticness,duration_ms,energy,explicit,instrumentalness,loudness,mode,popularity,speechiness,tempo,release_date
944c80d26922ae634d6ce445b1fdff7f,The Goo Goo Dolls,Iris,Starred944c80d26922ae634d6ce445b1fdff7f,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,11,0.315,0.0942,0.497,1998,0.00125,289533,0.715,0,7.97e-06,-8.072,0,85,0.0362,155.925,1998-09-11
944c80d26922ae634d6ce445b1fdff7f,Squeeze,Is That Love?,Starred944c80d26922ae634d6ce445b1fdff7f,2NlkMVp0jccPvLYlhpCRHq,Squeeze,9,0.576,0.182,0.507,1981,0.0257,151133,0.714,0,0,-12.836,0,38,0.0551,81.348,1981
944c80d26922ae634d6ce445b1fdff7f,Alyson Stoner,It's On,Starred944c80d26922ae634d6ce445b1fdff7f,5ZVaVWPLaIAWUzonctpXxm,"Alyson Stoner, Alex G",7,0.739,0.59,0.735,2017,0.182,216750,0.54,0,0,-7.314,1,2,0.32,159.989,2017-04-28
944c80d26922ae634d6ce445b1fdff7f,The Kooks,Jackie Big Tits,Starred944c80d26922ae634d6ce445b1fdff7f,4dBUph2kBXo4ajPgcsWuKv,The Kooks,6,0.532,0.108,0.618,2006,0.000955,152587,0.93,0,0,-3.937,1,45,0.0361,136.746,2006-01-01
944c80d26922ae634d6ce445b1fdff7f,Taylor Swift,Jump Then Fall,Starred944c80d26922ae634d6ce445b1fdff7f,2m3ObD945KvpE5y9A1eUWm,Taylor Swift,2,0.572,0.0897,0.624,2021,0.0474,237580,0.69,0,0,-6.201,1,62,0.0358,160.111,2021-04-09
944c80d26922ae634d6ce445b1fdff7f,Third Eye Blind,Jumper,Starred944c80d26922ae634d6ce445b1fdff7f,3354J49VpkbZJho7Ztdzpw,Third Eye Blind,0,0.599,0.291,0.624,1997,0.0129,272973,0.543,0,0.00204,-9.226,1,65,0.0302,91.105,1997-04-08
944c80d26922ae634d6ce445b1fdff7f,Noah And The Whale,Just Me Before We Met,Starred944c80d26922ae634d6ce445b1fdff7f,3pflPleMUOCqhnkWGDTtPC,Noah And The Whale,4,0.744,0.122,0.624,2011,0.0994,217667,0.497,0,0.000295,-6.238,1,16,0.0514,139.945,2011-01-01
944c80d26922ae634d6ce445b1fdff7f,The Click Five,Just The Girl - Radio Edit,Starred944c80d26922ae634d6ce445b1fdff7f,49DeTb3PGq99LHpQ01IEgg,The Click Five,9,0.57,0.0973,0.851,2005,0.0203,231413,0.911,0,0,-1.434,1,10,0.0432,110.964,2005-05-31
944c80d26922ae634d6ce445b1fdff7f,Avril Lavigne,Keep Holding On,Starred944c80d26922ae634d6ce445b1fdff7f,4UPcXTh26ilb7owtuyHqNI,Avril Lavigne,7,0.162,0.143,0.138,2007,0.0374,239907,0.786,0,0,-2.353,1,62,0.038,161.192,2007-04-17
944c80d26922ae634d6ce445b1fdff7f,Beans On Toast,Keep You,Starred944c80d26922ae634d6ce445b1fdff7f,3B2sofXi89MuIvxJdTxWMV,Beans on Toast,9,0.447,0.359,0.598,2013,0.164,147347,0.424,1,0,-12.613,1,4,0.194,155.983,2013-12-01
